"1009";"D1";"2";"1";"Lewiston";"46";"1";"46";"78.20";"56.42";"2";"0.00";"56.42"
"1010";"D1";"2";"1";"Pawnee City";"70";"2";"140";"238.00";"171.72";"2";"0.00";"171.72"
"1011";"D2";"12";"1";"Banner County";"22";"2";"44";"74.80";"16.15";"2";"0.00";"16.15"
"1012";"D2";"12";"1";"Sioux County";"68";"1";"68";"115.60";"24.96";"1";"0.00";"24.96"
"1013";"D2";"12";"1";"South Platte";"120";"1";"120";"204.00";"44.04";"1";"0.00";"44.04"
"1014";"D2";"12";"1";"Potter-Dix";"61";"2";"122";"207.40";"44.78";"2";"0.00";"44.78"
"1015";"D2";"12";"1";"Minatare";"10";"1";"10";"17.00";"3.67";"1";"0.00";"3.67"
"1016";"C2";"5";"1";"Bancroft-Rosalie";"38";"2";"76";"129.20";" ";"2";"22.48";"151.68"
"1017";"C2";"5";"1";"Wakefield";"10";"2";"20";"34.00";" ";"2";"22.48";"56.48"
"1018";"C2";"5";"1";"Ponca";"36";"1";"36";"61.20";" ";"2";"22.48";"83.68"
"1019";"C2";"5";"1";"Homer";"55";"1";"55";"93.50";" ";"1";"11.24";"104.74"
"1020";"C2";"5";"1";"Winnebago";"45";"1";"45";"76.50";" ";"1";"11.24";"87.74"
"1021";"C2";"12";"1";"Bayard";"25";"1";"25";"42.50";" ";"2";"50.57";"93.07"
"1022";"C2";"12";"1";"Bridgeport";"35";"2";"70";"119.00";" ";"2";"50.57";"169.57"
"1023";"C2";"12";"1";"Garden County";"80";"1";"80";"136.00";" ";"1";"25.29";"161.29"
"1024";"C2";"12";"1";"Hemingford";"65";"1";"65";"110.50";" ";"1";"25.29";"135.79"
"1025";"C2";"12";"1";"Morrill";"18";"2";"36";"61.20";" ";"2";"50.57";"111.77"
"1026";"C2";"7";"1";"Twin River";"33";"2";"66";"112.20";" ";"2";"8.12";"120.32"
"1027";"C2";"7";"1";"Heartland";"34";"2";"68";"115.60";" ";"2";"8.12";"123.72"
"1028";"C2";"7";"1";"High Plains Community";"14";"1";"14";"23.80";" ";"2";"8.12";"31.92"
"1029";"C2";"7";"1";"Fullerton";"19";"1";"19";"32.30";" ";"1";"4.06";"36.36"
"1030";"C2";"7";"1";"Cross County";"28";"1";"28";"47.60";" ";"1";"4.06";"51.66"
"1031";"D1";"12";"1";"Leyton";"47";"2";"94";"159.80";"20.92";"2";"0.00";"20.92"
"1032";"D1";"12";"1";"Hay Springs";"150";"2";"300";"510.00";"66.76";"2";"0.00";"66.76"
"1033";"D1";"12";"1";"Crawford";"161";"1";"161";"273.70";"35.83";"1";"0.00";"35.83"
"1034";"D1";"12";"1";"Wauneta-Palisade";"111";"1";"111";"188.70";"24.70";"2";"0.00";"24.70"
"1035";"D1";"12";"1";"Creek Valley";"0";"0";"0";"0.00";"0.00";"1";"0.00";"0.00"
"1036";"A";"4";"2";"Fremont";"47";"1";"47";"79.90";" ";"1";"29.13";"109.03"
"1037";"A";"4";"2";"Lincoln North Star";"51";"1";"51";"86.70";" ";"2";"58.25";"144.95"
"1038";"A";"4";"2";"Omaha Burke";"18";"1";"18";"30.60";" ";"2";"58.25";"88.85"
"1039";"A";"4";"2";"Omaha Central";"11";"1";"11";"18.70";" ";"1";"29.13";"47.83"
"1040";"D2";"4";"1";"Wausa";"23";"2";"46";"78.20";"60.17";"2";"0.00";"60.17"
"1041";"D2";"4";"1";"Wynot";"12";"2";"24";"40.80";"31.40";"2";"0.00";"31.40"
"1042";"D2";"4";"1";"Coleridge";"10";"1";"10";"17.00";"13.08";"2";"0.00";"13.08"
"1043";"D2";"4";"1";"Newcastle";"30";"1";"30";"51.00";"39.24";"1";"0.00";"39.24"
"1044";"D2";"4";"1";"Santee";"51";"1";"51";"86.70";"66.72";"1";"0.00";"66.72"
