55,Sioux County,24,D2,Sioux County,24,,
54,South Platte,44,D2,South Platte,44,,
52,South Sioux City,799,A,South Sioux City,799,,
51,Southern,97,C1,Southern,97,,
50,Southern Valley,111,C1,Southern Valley,111,,
71,Southwest,82,C2,Southwest,82,,
49,Spalding/Spalding Academy,46,D2,Spalding,22,Spalding Academy,24
46,St. Edward,30,D2,St. Edward,30,,
45,St. Mary's,63,D1,St. Mary's,63,,
44,St. Paul,139,B,St. Paul,139,,
43,Stanton,109,C1,Stanton,109,,
42,Stapleton,38,D2,Stapleton,38,,
40,Sterling,55,D1,Sterling,55,,
41,Stuart,31,D2,Stuart,31,,
39,Sumner-Eddyville-Miller,44,D2,Sumner-Eddyville-Miller,44,,
38,Superior,97,C1,Superior,97,,
37,Sutherland,73,C2,Sutherland,73,,
34,Syracuse,183,B,Syracuse,183,,
33,Tekamah-Herman,128,C1,Tekamah-Herman,128,,
322,Thayer Central,91,C2,Thayer Central,91,,
32,Thedford,28,D2,Thedford,28,,
30,Tri County,102,C1,Tri County,102,,
29,Twin River,107,C1,Twin River,107,,
28,Valentine,174,B,Valentine,174,,
25,Verdigre,49,D1,Verdigre,49,,
26,Wahoo,187,B,Wahoo,187,,
24,Wakefield,102,C1,Wakefield,102,,
23,Wallace,43,D2,Wallace,43,,
22,Walthill,50,D1,Walthill,50,,
21,Wauneta-Palisade,44,D2,Wauneta-Palisade,44,,
20,Wausa,52,D1,Wausa,52,,
19,Waverly,441,A,Waverly,441,,
17,Wayne,212,B,Wayne,212,,
18,Weeping Water,91,C2,Weeping Water,91,,
47,West Boyd,58,D1,West Boyd,58,,
16,West Holt,100,C1,West Holt,100,,
14,West Point Central Catholic,74,C2,Guardian Angels Central Catholic,74,,
15,West Point-Beemer,167,B,West Point-Beemer,167,,
13,Wheeler Central,30,D2,Wheeler Central,30,,
12,Wilber-Clatonia,123,C1,Wilber-Clatonia,123,,
11,Wilcox-Hildreth,59,D1,Wilcox-Hildreth,59,,
8,Winnebago,111,C1,Winnebago,111,,
9,Winside,65,C2,Winside,65,,
10,Wisner-Pilger,130,C1,Wisner-Pilger,130,,
7,Wood River,115,C1,Wood River,115,,
6,Wynot,41,D2,Wynot,41,,
4,York,316,B,York,316,,
5,Yutan,96,C1,Yutan,96,,
